도,도시명,접근 점수,면적 점수,투자 점수,공평 점수,시설 점수,총 점수,순위
광역특별시,대구광역시,67,56,94,43,100,72,12
광역특별시,광주광역시,71,61,100,71,100,81,4
광역특별시,대전광역시,76,69,58,66,54,65,20
광역특별시,부산광역시,52,75,54,49,80,62,28
광역특별시,서울특별시,77,70,100,36,100,77,9
광역특별시,세종특별자치시,51,47,86,27,14,45,62
광역특별시,울산광역시,74,85,96,51,23,66,18
광역특별시,인천광역시,71,80,56,44,28,56,42
강원도,강릉시,40,19,62,31,48,40,73
강원도,동해시,50,3,63,32,100,50,57
강원도,삼척시,39,27,11,19,37,27,85
강원도,속초시,64,47,26,47,26,42,69
강원도,원주시,37,12,68,25,55,39,74
강원도,춘천시,62,75,100,23,42,60,31
강원도,태백시,27,84,12,23,16,32,81
경기도,고양시,66,56,100,63,100,77,8
경기도,과천시,47,31,100,71,35,57,40
경기도,광명시,79,82,100,58,20,68,15
경기도,광주시,20,16,82,23,39,36,78
경기도,구리시,75,39,100,71,100,77,7
경기도,군포시,82,42,100,25,0,50,56
경기도,김포시,59,66,100,49,38,62,25
경기도,남양주시,53,50,100,59,14,55,44
경기도,동두천시,68,42,100,100,100,82,3
경기도,부천시,90,41,100,82,67,76,10
경기도,성남시,50,85,100,65,100,80,5
경기도,수원시,81,56,100,75,10,64,21
경기도,시흥시,69,66,100,21,22,56,43
경기도,안산시,75,69,100,93,100,87,1
경기도,안성시,48,20,46,22,0,27,84
경기도,안양시,73,37,91,82,0,57,41
경기도,양주시,38,43,100,22,36,48,60
경기도,여주시,24,12,60,16,29,28,82
경기도,오산시,70,61,100,57,100,78,6
경기도,용인시,54,52,87,89,3,57,39
경기도,의왕시,65,75,100,45,6,58,35
경기도,의정부시,69,47,55,54,100,65,19
경기도,이천시,37,61,100,12,5,43,67
경기도,파주시,38,49,91,27,18,45,63
경기도,평택시,64,62,100,82,5,63,24
경기도,포천시,25,61,69,25,21,40,72
경기도,하남시,71,57,100,22,100,70,14
경기도,화성시,46,39,100,33,0,44,66
경상남도,거제시,50,25,71,33,9,38,75
경상남도,김해시,56,17,60,40,12,37,76
경상남도,밀양시,38,29,100,32,11,42,70
경상남도,사천시,19,42,100,31,100,58,33
경상남도,양산시,69,35,100,26,31,52,52
경상남도,진주시,54,54,100,23,6,48,61
경상남도,창원시,70,78,100,78,92,84,2
경상남도,통영시,37,85,100,28,3,51,54
경상북도,경산시,70,28,93,38,78,62,29
경상북도,경주시,43,30,70,16,55,43,68
경상북도,구미시,68,64,100,26,76,67,16
경상북도,김천시,39,44,44,12,0,28,83
경상북도,문경시,45,4,21,11,100,36,77
경상북도,상주시,29,41,59,16,25,34,79
경상북도,안동시,50,66,100,19,52,58,36
경상북도,영주시,46,44,80,28,23,44,65
경상북도,영천시,29,26,100,15,100,54,47
경상북도,포항시,59,16,100,27,100,60,30
전라남도,광양시,73,90,100,22,2,57,37
전라남도,나주시,36,49,100,18,62,53,50
전라남도,목포시,76,96,100,24,14,62,27
전라남도,순천시,60,18,95,25,100,60,32
전라남도,여수시,49,77,100,20,4,50,55
전라북도,군산시,68,77,100,12,100,71,13
전라북도,김제시,30,52,100,6,99,57,38
전라북도,남원시,32,1,22,15,100,34,80
전라북도,익산시,54,79,33,39,57,52,51
전라북도,전주시,73,97,100,98,9,75,11
전라북도,정읍시,43,1,53,8,100,41,71
제주특별자치도,서귀포시,26,66,35,33,100,52,53
제주특별자치도,제주시,54,67,45,35,72,55,46
충청남도,계룡시,65,69,47,56,93,66,17
충청남도,공주시,36,36,100,62,32,53,48
충청남도,논산시,42,35,83,34,48,48,59
충청남도,당진시,47,54,100,46,0,49,58
충청남도,보령시,47,14,39,21,100,44,64
충청남도,서산시,52,90,100,31,2,55,45
충청남도,아산시,45,39,100,36,100,64,22
충청남도,천안시,66,52,100,90,7,63,23
충청북도,제천시,63,10,100,26,67,53,49
충청북도,청주시,72,73,50,90,25,62,26
충청북도,충주시,61,54,74,20,81,58,34